nct_id,phase,therapeutic_area,enrollment,duration_months,sponsor_type,start_year,success,status
NCT75682867,Phase IV,Neurology,5284,84,NIH,2014,1,Completed-Success
NCT66755036,Phase III,Oncology,513,71,Industry,2014,1,Completed-Success
NCT66882282,Phase II,Oncology,845,80,Industry,2010,0,Withdrawn
NCT31081788,Phase II,Other,69,50,Industry,2016,1,Completed-Success
NCT23315092,Phase II,Oncology,31,92,Industry,2021,0,Terminated
NCT45788921,Phase III,Infectious Disease,162,79,Industry,2017,0,Terminated
NCT36735830,Phase III,Cardiology,174,72,NIH,2020,1,Completed-Success
NCT41632483,Phase I,Infectious Disease,29,74,Academic,2014,1,Completed-Success
NCT86737383,Phase I,Oncology,114,8,Academic,2006,1,Completed-Success
NCT98358551,Phase I,Oncology,270,43,Academic,2006,0,Completed-Failed
NCT98409749,Phase III,Oncology,254,82,Academic,2011,0,Completed-Failed
NCT14981505,Phase III,Cardiology,316,47,Industry,2010,1,Completed-Success
NCT23953367,Phase II,Infectious Disease,229,88,NIH,2005,1,Completed-Success
NCT95652971,Phase I,Oncology,69,45,Industry,2016,0,Withdrawn
NCT14521373,Phase I,Cardiology,68,55,NIH,2017,0,Completed-Failed
NCT13344769,Phase IV,Neurology,24,40,Academic,2016,1,Completed-Success
NCT86893497,Phase II,Oncology,2158,29,Industry,2013,1,Completed-Success
NCT40349564,Phase III,Infectious Disease,151,93,Academic,2014,0,Completed-Failed
NCT52860080,Phase III,Cardiology,105,22,Industry,2021,0,Completed-Failed
NCT87751354,Phase II,Oncology,36,45,Industry,2022,0,Terminated
NCT72250665,Phase I,Oncology,12130,79,Academic,2012,1,Completed-Success
NCT76209791,Phase I,Cardiology,29,71,Industry,2011,0,Completed-Failed
NCT56792155,Phase III,Other,78,49,Industry,2013,0,Completed-Failed
NCT31498555,Phase III,Neurology,276,28,NIH,2014,1,Completed-Success
NCT70221198,Phase III,Cardiology,365,11,Academic,2016,0,Completed-Failed
NCT89757501,Phase II,Neurology,624,71,NIH,2019,1,Completed-Success
NCT26861870,Phase I,Infectious Disease,2233,26,Academic,2019,1,Completed-Success
NCT62286002,Phase IV,Cardiology,317,40,Industry,2008,1,Completed-Success
NCT42049003,Phase III,Infectious Disease,30,118,Industry,2008,1,Completed-Success
NCT71136438,Phase II,Oncology,100,34,Academic,2005,1,Completed-Success
NCT72194931,Phase IV,Cardiology,235,12,NIH,2016,0,Completed-Failed
NCT75285250,Phase III,Cardiology,3302,98,Industry,2006,1,Completed-Success
NCT79537252,Phase III,Infectious Disease,18,58,NIH,2019,0,Completed-Failed
NCT69248434,Phase III,Other,901,42,NIH,2021,0,Completed-Failed
NCT71306900,Phase III,Oncology,194,28,Academic,2011,0,Withdrawn
NCT65831368,Phase III,Oncology,521,102,NIH,2010,0,Withdrawn
NCT20959014,Phase I,Oncology,127,13,Industry,2016,1,Completed-Success
NCT66972561,Phase II,Neurology,41,81,NIH,2005,0,Completed-Failed
NCT58900483,Phase IV,Cardiology,457,115,Academic,2018,1,Completed-Success
NCT30193880,Phase I,Oncology,396,53,Industry,2008,1,Completed-Success
NCT13385357,Phase II,Cardiology,637,15,NIH,2009,1,Completed-Success
NCT54738553,Phase II,Infectious Disease,145,84,Industry,2005,0,Terminated
NCT78574553,Phase II,Neurology,60,29,Industry,2005,0,Terminated
NCT26845364,Phase III,Infectious Disease,14,95,Academic,2010,0,Completed-Failed
NCT62157313,Phase IV,Infectious Disease,507,52,Industry,2009,0,Completed-Failed
NCT21392366,Phase I,Other,280,111,Industry,2006,0,Completed-Failed
NCT79778859,Phase I,Oncology,34,58,Academic,2009,0,Completed-Failed
NCT98883975,Phase I,Oncology,66,44,Industry,2013,1,Completed-Success
NCT23479854,Phase IV,Cardiology,73,72,Industry,2019,0,Completed-Failed
NCT83506850,Phase III,Other,16,71,Industry,2017,0,Terminated
NCT23187277,Phase II,Infectious Disease,43,11,Industry,2016,1,Completed-Success
NCT78979792,Phase III,Oncology,27,26,Academic,2009,1,Completed-Success
NCT47709731,Phase IV,Oncology,79,78,Academic,2006,1,Completed-Success
NCT36939239,Phase III,Infectious Disease,49,79,NIH,2008,0,Completed-Failed
NCT33027075,Phase IV,Oncology,12,41,Academic,2022,1,Completed-Success
NCT91200125,Phase II,Cardiology,3083,8,Industry,2014,0,Terminated
NCT96191493,Phase III,Other,971,110,NIH,2017,1,Completed-Success
NCT97796277,Phase II,Infectious Disease,46,93,Academic,2016,1,Completed-Success
NCT76401385,Phase III,Infectious Disease,223,91,Academic,2006,1,Completed-Success
NCT32335235,Phase III,Infectious Disease,277,118,Academic,2019,0,Completed-Failed
NCT10271836,Phase III,Oncology,885,83,NIH,2018,0,Completed-Failed
NCT13584702,Phase III,Other,43,47,Academic,2014,0,Completed-Failed
NCT62631083,Phase I,Infectious Disease,763,50,Industry,2012,1,Completed-Success
NCT18585377,Phase II,Infectious Disease,65,49,Academic,2019,0,Completed-Failed
NCT96544585,Phase IV,Cardiology,20,96,Industry,2017,1,Completed-Success
NCT95157821,Phase IV,Infectious Disease,439,38,Industry,2012,1,Completed-Success
NCT97655395,Phase I,Cardiology,1028,65,Industry,2018,0,Terminated
NCT27824013,Phase I,Oncology,7200,91,Industry,2005,1,Completed-Success
NCT46601694,Phase I,Neurology,24,98,Industry,2017,0,Terminated
NCT77105583,Phase III,Other,423,88,Industry,2012,0,Completed-Failed
NCT70304654,Phase III,Cardiology,80,88,Academic,2022,0,Terminated
NCT44119117,Phase I,Other,480,75,Academic,2013,0,Withdrawn
NCT46433622,Phase II,Oncology,16,114,NIH,2017,1,Completed-Success
NCT99482491,Phase III,Infectious Disease,22,88,Industry,2007,0,Terminated
NCT70031992,Phase III,Cardiology,46,82,Academic,2022,0,Completed-Failed
NCT65105831,Phase II,Cardiology,167,31,NIH,2014,0,Terminated
NCT13366612,Phase III,Infectious Disease,56,91,Industry,2009,0,Completed-Failed
NCT68743503,Phase II,Oncology,398,26,Academic,2010,1,Completed-Success
NCT46258670,Phase II,Oncology,692,105,Academic,2012,0,Withdrawn
NCT79739572,Phase III,Infectious Disease,364,7,Industry,2011,0,Completed-Failed
NCT65848857,Phase III,Oncology,1682,52,NIH,2022,1,Completed-Success
NCT67055419,Phase IV,Neurology,276,113,Academic,2018,1,Completed-Success
NCT59160571,Phase III,Oncology,23,35,Industry,2019,0,Completed-Failed
NCT78394024,Phase III,Oncology,1147,32,Industry,2014,0,Completed-Failed
NCT74525468,Phase I,Cardiology,59,76,Industry,2016,1,Completed-Success
NCT99966606,Phase II,Cardiology,581,25,Industry,2011,0,Completed-Failed
NCT48727468,Phase I,Other,1572,55,Industry,2011,1,Completed-Success
NCT61757120,Phase I,Cardiology,294,100,Industry,2015,1,Completed-Success
NCT77157848,Phase III,Oncology,15,28,Industry,2017,1,Completed-Success
NCT87897542,Phase IV,Neurology,37,18,NIH,2019,0,Withdrawn
NCT83665032,Phase I,Infectious Disease,1079,86,Industry,2022,0,Completed-Failed
NCT95390464,Phase II,Oncology,115,9,Industry,2011,1,Completed-Success
NCT58170987,Phase III,Cardiology,167,19,Industry,2010,0,Completed-Failed
NCT62562567,Phase I,Other,463,25,Industry,2015,1,Completed-Success
NCT33717335,Phase III,Infectious Disease,421,18,Industry,2012,1,Completed-Success
NCT70472382,Phase III,Oncology,225,8,Industry,2005,0,Withdrawn
NCT22719242,Phase III,Oncology,108,95,Industry,2012,0,Completed-Failed
NCT58715250,Phase I,Oncology,92,95,Academic,2012,1,Completed-Success
NCT93139152,Phase II,Infectious Disease,537,87,NIH,2007,0,Completed-Failed
NCT54054178,Phase III,Cardiology,340,101,Industry,2009,0,Terminated
NCT48334882,Phase III,Oncology,100,83,Industry,2007,1,Completed-Success
NCT62441466,Phase I,Other,752,52,Academic,2019,0,Completed-Failed
NCT59583876,Phase III,Neurology,122,8,Academic,2018,1,Completed-Success
NCT96117865,Phase I,Cardiology,41,6,Industry,2019,0,Completed-Failed
NCT73203558,Phase III,Neurology,47,95,NIH,2021,1,Completed-Success
NCT47407771,Phase I,Oncology,34,29,Academic,2022,1,Completed-Success
NCT93122310,Phase IV,Infectious Disease,98,118,Industry,2006,1,Completed-Success
NCT37009224,Phase II,Cardiology,944,40,Academic,2016,1,Completed-Success
NCT61327755,Phase II,Neurology,44,19,NIH,2020,0,Completed-Failed
NCT89018913,Phase I,Neurology,196,72,Academic,2008,1,Completed-Success
NCT17130144,Phase II,Oncology,55,18,Industry,2006,0,Terminated
NCT14545583,Phase IV,Other,100,52,Industry,2018,1,Completed-Success
NCT64079037,Phase IV,Oncology,15,55,Industry,2015,1,Completed-Success
NCT64474455,Phase II,Other,106,83,Industry,2017,0,Withdrawn
NCT51542436,Phase II,Other,110,90,Academic,2011,0,Completed-Failed
NCT56626914,Phase III,Oncology,333,31,Academic,2014,1,Completed-Success
NCT63933927,Phase IV,Cardiology,207,8,Academic,2005,1,Completed-Success
NCT62453338,Phase III,Oncology,24,56,NIH,2008,1,Completed-Success
NCT24881728,Phase II,Infectious Disease,754,45,Industry,2022,0,Completed-Failed
NCT44045666,Phase II,Infectious Disease,203,73,NIH,2010,0,Completed-Failed
NCT22722094,Phase III,Cardiology,199,41,Academic,2006,0,Terminated
NCT32178434,Phase I,Other,146,56,Industry,2007,1,Completed-Success
NCT56321408,Phase III,Cardiology,68,112,Academic,2018,0,Completed-Failed
NCT22796932,Phase II,Infectious Disease,205,6,Industry,2012,1,Completed-Success
NCT84023414,Phase III,Neurology,302,109,Academic,2020,1,Completed-Success
NCT36063245,Phase I,Other,10,116,Industry,2022,0,Withdrawn
NCT49443226,Phase III,Oncology,66,38,Industry,2010,0,Completed-Failed
NCT83619289,Phase II,Other,101,12,Academic,2018,0,Withdrawn
NCT17887739,Phase III,Oncology,217,57,Academic,2007,0,Terminated
NCT70736972,Phase I,Neurology,888,16,Industry,2020,1,Completed-Success
NCT71071026,Phase III,Oncology,46,32,Industry,2005,0,Terminated
NCT10769598,Phase III,Oncology,70,19,Industry,2016,0,Completed-Failed
NCT99178975,Phase III,Infectious Disease,68,91,Academic,2018,0,Terminated
